x,y,presence
542228.9182441157,4517381.617545602,1
572944.5469019297,4567417.846854029,1
537923.164487206,4512555.196852294,1
543556.143274158,4514351.899910881,1
553275.6567335819,4516621.954290827,1
583812.8488897427,4536380.872261778,1
533387.2657235722,4521058.378474328,1
546819.3440009308,4518826.496587887,1
588825.3004388385,4537376.710174819,1
521665.8580878452,4516064.25551185,1
576378.2168515772,4544352.8252596725,1
571075.3154535146,4550597.505451653,1
517812.9581609227,4513081.634307076,1
574130.8095806072,4540418.2659296505,1
585356.2303930968,4568419.212113482,1
553866.0965445942,4514846.456208198,1
536119.913991976,4515906.0821423875,1
545367.4211897152,4515556.682987998,1
577384.998216173,4540254.671405107,1
532071.2127029238,4522398.65529766,1
522222.00268108747,4586907.110227429,1
535627.0780810268,4596196.810728659,1
579100.5623143301,4545179.84388618,1
531371.4220241068,4525829.991338757,1
570667.2715044002,4522574.067499602,1
569307.5985528108,4555862.208046381,1
556551.4725792547,4513149.872893752,1
558081.7816419804,4506758.628998928,1
578794.0963804857,4557627.020247037,1
515698.1090406123,4514843.74316313,1
567401.8820443556,4522432.587769687,1
577582.8957297051,4527766.333450879,1
533799.5030596419,4528930.286715955,1
551831.1528006105,4517710.8277153615,1
574794.4878387138,4548664.560607797,1
544822.2837162705,4522385.444157697,1
592149.7321608675,4545065.172730016,1
583856.8705879496,4562662.470151844,1
529271.8633461606,4524326.195904499,1
586365.2173484322,4544625.564682502,1
540098.7059070023,4517906.181250697,1
539600.8116184497,4520742.871121248,1
581208.2078986017,4547648.361290326,1
545205.9450654113,4513198.501975803,1
571601.3869081734,4539663.498930063,1
531582.4818196011,4518830.367653764,1
580082.3101534813,4544593.961918696,1
574570.9515347001,4549891.46930213,1
540563.2584951071,4513109.5278943665,1
555373.1030467238,4510162.986874734,1
582423.9934140423,4539800.681920667,1
577720.2700729124,4541691.682647042,1
550124.696179103,4519254.021385203,1
572181.34746506,4547277.641724591,1
550377.4064415069,4513153.608734846,1
516421.7005850316,4589763.840714191,1
569145.4744018285,4554925.745598745,1
566562.2436516923,4557050.990351593,1
585173.4475254872,4541788.49136549,1
553704.1459420158,4513178.08242925,1
519857.827148016,4513874.763478703,0
598424.0726988784,4591191.695833183,0
527648.6915270755,4594218.6957804235,0
527806.7520931934,4561639.863905808,0
518842.6254350727,4534341.167349732,0
520211.6095413425,4599189.661130779,0
524317.8112319658,4519832.192141058,0
512269.65095873317,4568332.760068337,0
543924.8707462746,4507612.485476236,0
552765.488441716,4509404.191504055,0
535756.645581794,4525379.809123991,0
582817.718161723,4528283.204621686,0
579110.9190136861,4542084.529924327,0
522762.38332296227,4521616.901972678,0
530070.2746163547,4583086.87140661,0
578300.8095891115,4519235.445979981,0
529763.8654688664,4545656.20506781,0
537385.7600591992,4523382.318670273,0
577869.0812646688,4553224.382559534,0
520723.0180304505,4538730.8391895965,0
509313.5973486629,4567918.770195761,0
508171.3259876707,4559781.108605657,0
551705.1351121867,4565704.9385102475,0
554581.209806976,4527943.382988682,0
554090.2815073496,4581234.974312845,0
550877.4980797905,4506781.872095713,0
573938.7775380051,4517702.800382307,0
513745.68853885226,4513817.682986084,0
518101.18568175484,4508360.323097205,0
533585.3353511457,4558801.456891023,0
569568.1626866657,4510649.36835899,0
594401.5119821979,4558426.918838426,0
592226.8794652268,4590754.687114507,0
522402.1473948663,4595380.409116383,0
582695.1311438753,4594053.529889315,0
516785.2245657206,4582257.1055454025,0
556319.5353987927,4566424.231824623,0
502070.0135799877,4501825.284045704,0
518322.6377898661,4577095.673016271,0
599869.8863774593,4508833.989200158,0
508058.83190412965,4519556.00826919,0
502073.5287271516,4513697.472322139,0
500258.8353907137,4522644.681253313,0
584438.553138379,4502650.754947824,0
533439.2979695491,4588566.592292587,0
582593.8314625203,4554796.852908401,0
532354.3521656181,4567846.761514296,0
524367.3275701386,4573166.733606681,0
544900.7821145889,4557784.740233973,0
519567.40725997504,4554248.957506439,0
530438.9734252824,4501447.259334141,0
557878.6834436214,4575374.932836871,0
575293.0744948536,4508928.415195279,0
519576.73126359796,4584379.731852353,0
537646.0633037892,4535313.068664011,0
522188.6525646527,4571078.466430191,0
536392.95498909,4503893.157718577,0
501354.44815561135,4538354.407703024,0
594426.2882394113,4594162.864550286,0
511219.0149811986,4507157.753576775,0
504416.7192740163,4572259.70039236,0
589908.2833631526,4507163.200546133,0
550557.3946263347,4598938.250168162,0
595145.7016525425,4579627.427676776,0
514869.9531925461,4573611.351356599,0
508816.0367671585,4532567.4095865,0
507639.1551832241,4521271.036406982,0
504862.58794169495,4538846.13150469,0
553676.622355078,4594284.536648141,0
589290.8579847844,4559133.310458733,0
582923.8630976417,4553419.371210469,0
536145.8472726304,4566201.718787015,0
513072.1469979094,4560106.320536341,0
551314.0555175347,4554126.4222433185,0
501341.3685591908,4546725.284520187,0
534675.0315271172,4580267.750358278,0
571737.3643813438,4509790.5795091335,0
525750.4360592914,4517579.294880408,0
550376.3788616844,4522896.997828505,0
599827.2316625597,4520684.572150547,0
515159.19356223673,4549653.758739194,0
595659.2048607586,4504825.027164101,0
574179.9860325279,4565795.424345688,0
521108.3811309774,4560447.128264695,0
562103.711402026,4519214.141297716,0
580376.9646144784,4513123.299207862,0
590382.6820896097,4557939.105844517,0
504654.03196955106,4515242.806706687,0
562890.1587135933,4538814.610522937,0
502278.2939757092,4563066.926048561,0
543834.8631184732,4509184.354387824,0
561402.1776800699,4552444.889933535,0
526673.3376790525,4515435.751147991,0
568314.8904223412,4519943.660563316,0
599173.4133230315,4591379.572382778,0
520411.1659596916,4512750.203460831,0
534669.8343143791,4584778.807721089,0
594800.1335871466,4519579.94111415,0
564126.410621313,4526367.309885049,0
586197.9118256388,4528349.628434695,0
561690.5594844416,4507833.318917122,0
566850.1298777456,4542203.0264515225,0
550664.6381024972,4568156.339588506,0
517680.9634639568,4542873.967453721,0
568553.7658944401,4532439.815005398,0
549176.3347771401,4565719.393579664,0
563658.8589875649,4576072.205983892,0
596267.8429574054,4553910.29077654,0
598710.7121848179,4510325.777437095,0
511942.18853273353,4538818.568817149,0
579768.4528949304,4510427.703160741,0
505079.0994691216,4554818.198564313,0
577873.7941091332,4505297.003796768,0
567071.3059408305,4522334.044363472,0
556384.8918642047,4566743.577631685,0
572212.1884742505,4557664.79445375,0
558074.6707666611,4500150.715078206,0
507940.9462260792,4504340.498059072,0
531248.1702144665,4561147.043632332,0
575391.9252196525,4517422.4622536935,0
530718.2231957769,4508711.199563962,0
515734.6429829704,4576303.427527631,0
552694.9456420217,4550567.119758216,0
593697.5687933004,4526229.575851966,0
530367.3820939021,4592709.824415446,0
596062.3137861239,4520851.863202651,0
552245.9455894022,4580072.167956403,0
552656.2228507058,4564710.940963179,0
546272.6875098587,4527893.253448749,0
567636.0846791466,4578317.399492319,0
530189.5002595191,4555860.969980724,0
574763.3032238024,4575355.306942609,0
519346.72339435096,4594814.778365757,0
501428.3875180526,4515706.518741534,0
505147.25178733043,4578709.757306634,0
553743.1654396146,4578070.472840573,0
569689.4589688829,4595627.999693956,0
552292.4147434913,4552273.235033583,0
538196.5921447417,4574908.031764729,0
535088.7876469076,4545794.891433574,0
513295.75871778233,4529204.819153615,0
554064.2252600063,4595882.773696924,0
553067.2169815702,4581229.507966398,0
555403.6883779971,4563153.952556856,0
508398.1122955995,4511582.029136417,0
544275.0856688758,4589881.4202759,0
518057.2011219274,4527296.390997288,0
505187.242227732,4504282.328178475,0
545188.5070520204,4592838.268060999,0
539838.3561345637,4568792.016145171,0
